"(Intercept)","CVRG","DNST","CNNC","SHEI","IIND","df","logLik","AICc","delta","weight"
"C0",0.000525933601409008,NA,NA,NA,NA,NA,2,-234.0796073361,472.603659116643,0,0.281523224258111
"C7",0.000604390650434311,NA,NA,NA,NA,-8.13519577489494e-06,3,-233.249501882669,473.422080688416,0.818421571772149,0.186980467606232
"C2",0.000642267109759189,NA,-5.96088711760391e-05,NA,NA,NA,3,-233.267740518459,473.458557959995,0.854898843351236,0.183601110070926
"C6",0.000365520074255938,NA,NA,NA,0.00027525100150556,NA,3,-233.645281132854,474.213639188785,1.60998007214187,0.125866888734367
"C5",0.000575828410931549,NA,NA,-2.73494090513102e-06,NA,NA,3,-233.700250735533,474.323578394143,1.71991927749917,0.1191347621288
"C1",0.000477854018991276,4.30262493356788e-06,NA,NA,NA,NA,3,-233.846811111303,474.616699145682,2.01304002903885,0.102893547201563
