"(Intercept)","CVRG","IIND","CVRG:IIND","DNST","DNST:IIND","CNNC","CNNC:IIND","SHEI","IIND:SHEI","df","logLik","AICc","delta","weight"
"MC",0.000869331555572432,NA,7.7253285860117e-06,NA,NA,NA,-1.63037938957169e-05,1.81470558849996e-07,NA,NA,5,-183.409744266398,379.977383269637,0,0.367948105099624
"MB",0.000542777103388608,NA,8.73078726750234e-06,NA,-3.97991857720561e-05,3.20153100825743e-06,NA,NA,NA,NA,5,-183.761037809126,380.679970355094,0.702587085456457,0.258953463188271
"MA",0.000451493701385748,1.30488406627117e-06,1.32940610421773e-05,-2.17506511265332e-07,NA,NA,NA,NA,NA,NA,5,-184.073431816684,381.304758370211,1.32737510057319,0.189474482637161
"MD",0.00045313632030051,NA,9.08110665233449e-06,NA,NA,NA,NA,NA,-1.49986500910704e-05,1.01519053739271e-05,5,-184.106457215112,381.370809167066,1.39342589742813,0.1833192119308
"M0",0.000573347207418397,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,-194.812211968,394.169878481454,14.1924952118166,0.000304737144144439
