"(Intercept)","CVRG","DNST","CNNC","SHEI","IIND","df","logLik","AICc","delta","weight"
"M7",0.000462458827019031,NA,NA,NA,NA,1.24000172222144e-05,3,-184.224345273139,375.591547689135,0,0.998598091630337
"M2",0.000884530021334309,NA,-0.000120261529880217,NA,NA,NA,3,-191.499808287169,390.142473717196,14.5509260280606,0.000691348924354775
"M6",0.00098542346418072,NA,NA,NA,-0.000619841134197698,NA,3,-192.020929533907,391.184716210671,15.593168521536,0.000410560543502318
"M5",0.00122709740601161,NA,NA,-2.63859868166501e-05,NA,NA,3,-193.368836529234,393.880530201326,18.2889825121907,0.000106656822084262
"M1",0.000673384775895794,-5.59989606029536e-06,NA,NA,NA,NA,3,-193.422822829416,393.988502801688,18.3969551125531,0.000101051481997589
"M0",0.000573347207418397,NA,NA,NA,NA,NA,2,-194.812211968,394.169878481454,18.5783307923189,9.22905977240987e-05
